,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014003003012,060014003003012,"Block 3012, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003013,060014003003013,"Block 3013, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003014,060014003003014,"Block 3014, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003015,060014003003015,"Block 3015, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003016,060014003003016,"Block 3016, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003017,060014003003017,"Block 3017, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003018,060014003003018,"Block 3018, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003019,060014003003019,"Block 3019, Block Group 3, Census Tract 4003, Alameda County, California",73,68,5
1000000US060014003003020,060014003003020,"Block 3020, Block Group 3, Census Tract 4003, Alameda County, California",16,16,0
1000000US060014003003021,060014003003021,"Block 3021, Block Group 3, Census Tract 4003, Alameda County, California",13,13,0
1000000US060014003003022,060014003003022,"Block 3022, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003023,060014003003023,"Block 3023, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003024,060014003003024,"Block 3024, Block Group 3, Census Tract 4003, Alameda County, California",216,200,16
1000000US060014003003025,060014003003025,"Block 3025, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003026,060014003003026,"Block 3026, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003027,060014003003027,"Block 3027, Block Group 3, Census Tract 4003, Alameda County, California",25,20,5
1000000US060014003003028,060014003003028,"Block 3028, Block Group 3, Census Tract 4003, Alameda County, California",9,9,0
1000000US060014003003029,060014003003029,"Block 3029, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003003030,060014003003030,"Block 3030, Block Group 3, Census Tract 4003, Alameda County, California",7,6,1
1000000US060014003004000,060014003004000,"Block 4000, Block Group 4, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003004001,060014003004001,"Block 4001, Block Group 4, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003004002,060014003004002,"Block 4002, Block Group 4, Census Tract 4003, Alameda County, California",39,35,4
1000000US060014003004003,060014003004003,"Block 4003, Block Group 4, Census Tract 4003, Alameda County, California",43,42,1
1000000US060014003004004,060014003004004,"Block 4004, Block Group 4, Census Tract 4003, Alameda County, California",40,38,2
1000000US060014003004005,060014003004005,"Block 4005, Block Group 4, Census Tract 4003, Alameda County, California",34,34,0
1000000US060014003004006,060014003004006,"Block 4006, Block Group 4, Census Tract 4003, Alameda County, California",53,53,0
1000000US060014003004007,060014003004007,"Block 4007, Block Group 4, Census Tract 4003, Alameda County, California",54,52,2
1000000US060014003004008,060014003004008,"Block 4008, Block Group 4, Census Tract 4003, Alameda County, California",53,52,1
1000000US060014003004009,060014003004009,"Block 4009, Block Group 4, Census Tract 4003, Alameda County, California",47,44,3
1000000US060014003004010,060014003004010,"Block 4010, Block Group 4, Census Tract 4003, Alameda County, California",53,43,10
1000000US060014003004011,060014003004011,"Block 4011, Block Group 4, Census Tract 4003, Alameda County, California",81,79,2
1000000US060014003004012,060014003004012,"Block 4012, Block Group 4, Census Tract 4003, Alameda County, California",35,34,1
1000000US060014003004013,060014003004013,"Block 4013, Block Group 4, Census Tract 4003, Alameda County, California",44,42,2
1000000US060014003004014,060014003004014,"Block 4014, Block Group 4, Census Tract 4003, Alameda County, California",53,51,2
1000000US060014003004015,060014003004015,"Block 4015, Block Group 4, Census Tract 4003, Alameda County, California",46,44,2
1000000US060014003004016,060014003004016,"Block 4016, Block Group 4, Census Tract 4003, Alameda County, California",39,37,2
1000000US060014004001000,060014004001000,"Block 1000, Block Group 1, Census Tract 4004, Alameda County, California",44,39,5
1000000US060014004001001,060014004001001,"Block 1001, Block Group 1, Census Tract 4004, Alameda County, California",68,64,4
1000000US060014004001002,060014004001002,"Block 1002, Block Group 1, Census Tract 4004, Alameda County, California",52,48,4
1000000US060014004001003,060014004001003,"Block 1003, Block Group 1, Census Tract 4004, Alameda County, California",62,61,1
1000000US060014004001004,060014004001004,"Block 1004, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004001005,060014004001005,"Block 1005, Block Group 1, Census Tract 4004, Alameda County, California",65,64,1
1000000US060014004001006,060014004001006,"Block 1006, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004001007,060014004001007,"Block 1007, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004001008,060014004001008,"Block 1008, Block Group 1, Census Tract 4004, Alameda County, California",51,43,8
1000000US060014004001009,060014004001009,"Block 1009, Block Group 1, Census Tract 4004, Alameda County, California",78,72,6
1000000US060014004001010,060014004001010,"Block 1010, Block Group 1, Census Tract 4004, Alameda County, California",88,76,12
1000000US060014004001011,060014004001011,"Block 1011, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004001012,060014004001012,"Block 1012, Block Group 1, Census Tract 4004, Alameda County, California",99,97,2
1000000US060014004001013,060014004001013,"Block 1013, Block Group 1, Census Tract 4004, Alameda County, California",54,53,1
1000000US060014004001014,060014004001014,"Block 1014, Block Group 1, Census Tract 4004, Alameda County, California",47,42,5
1000000US060014004001015,060014004001015,"Block 1015, Block Group 1, Census Tract 4004, Alameda County, California",54,51,3
1000000US060014004002000,060014004002000,"Block 2000, Block Group 2, Census Tract 4004, Alameda County, California",54,53,1
1000000US060014004002001,060014004002001,"Block 2001, Block Group 2, Census Tract 4004, Alameda County, California",1,1,0
1000000US060014004002002,060014004002002,"Block 2002, Block Group 2, Census Tract 4004, Alameda County, California",28,27,1
1000000US060014004002003,060014004002003,"Block 2003, Block Group 2, Census Tract 4004, Alameda County, California",1,0,1
1000000US060014004002004,060014004002004,"Block 2004, Block Group 2, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004002005,060014004002005,"Block 2005, Block Group 2, Census Tract 4004, Alameda County, California",20,18,2
1000000US060014004002006,060014004002006,"Block 2006, Block Group 2, Census Tract 4004, Alameda County, California",21,19,2
1000000US060014004002007,060014004002007,"Block 2007, Block Group 2, Census Tract 4004, Alameda County, California",33,33,0
1000000US060014004002008,060014004002008,"Block 2008, Block Group 2, Census Tract 4004, Alameda County, California",27,25,2
1000000US060014004002009,060014004002009,"Block 2009, Block Group 2, Census Tract 4004, Alameda County, California",41,35,6
1000000US060014004002010,060014004002010,"Block 2010, Block Group 2, Census Tract 4004, Alameda County, California",1,0,1
1000000US060014004002011,060014004002011,"Block 2011, Block Group 2, Census Tract 4004, Alameda County, California",1,1,0
1000000US060014004002012,060014004002012,"Block 2012, Block Group 2, Census Tract 4004, Alameda County, California",48,45,3
1000000US060014004002013,060014004002013,"Block 2013, Block Group 2, Census Tract 4004, Alameda County, California",25,25,0
1000000US060014004002014,060014004002014,"Block 2014, Block Group 2, Census Tract 4004, Alameda County, California",18,18,0
1000000US060014004002015,060014004002015,"Block 2015, Block Group 2, Census Tract 4004, Alameda County, California",25,24,1
1000000US060014004002016,060014004002016,"Block 2016, Block Group 2, Census Tract 4004, Alameda County, California",64,55,9
1000000US060014004002017,060014004002017,"Block 2017, Block Group 2, Census Tract 4004, Alameda County, California",56,55,1
1000000US060014004002018,060014004002018,"Block 2018, Block Group 2, Census Tract 4004, Alameda County, California",22,19,3
1000000US060014004002019,060014004002019,"Block 2019, Block Group 2, Census Tract 4004, Alameda County, California",90,77,13
1000000US060014004002020,060014004002020,"Block 2020, Block Group 2, Census Tract 4004, Alameda County, California",19,18,1
1000000US060014004003000,060014004003000,"Block 3000, Block Group 3, Census Tract 4004, Alameda County, California",19,19,0
1000000US060014004003001,060014004003001,"Block 3001, Block Group 3, Census Tract 4004, Alameda County, California",84,82,2
1000000US060014004003002,060014004003002,"Block 3002, Block Group 3, Census Tract 4004, Alameda County, California",62,58,4
1000000US060014004003003,060014004003003,"Block 3003, Block Group 3, Census Tract 4004, Alameda County, California",47,46,1
1000000US060014004003004,060014004003004,"Block 3004, Block Group 3, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004003005,060014004003005,"Block 3005, Block Group 3, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004003006,060014004003006,"Block 3006, Block Group 3, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004003007,060014004003007,"Block 3007, Block Group 3, Census Tract 4004, Alameda County, California",1,1,0
1000000US060014004003008,060014004003008,"Block 3008, Block Group 3, Census Tract 4004, Alameda County, California",0,0,0
1000000US060014004003009,060014004003009,"Block 3009, Block Group 3, Census Tract 4004, Alameda County, California",91,87,4
1000000US060014004003010,060014004003010,"Block 3010, Block Group 3, Census Tract 4004, Alameda County, California",0,0,0
